2,OP-2026-1001,2026-01-24,Ferreteria El Constructor,1160.11,Completado,Call Center
3,OP-2026-1002,2026-01-14,Importadora Guayas S.A.,1694.30,Pendiente,Sucursal
4,OP-2026-1003,2026-01-09,Tecnologia Integral EC,5310.90,Completado,Movil
5,OP-2026-1004,2026-01-27,Logistica Quito Express,704.55,Completado,Movil
6,OP-2026-1005,2026-01-22,Distribuidora Pichincha Cia. Ltda.,2426.97,Completado,Sucursal
7,OP-2026-1006,2026-01-04,Distribuidora Pichincha Cia. Ltda.,559.48,Pendiente,Movil
8,OP-2026-1007,2026-01-25,Tecnologia Integral EC,2056.38,Completado,Call Center
9,OP-2026-1008,2026-01-16,Comercial Andina S.A.,4902.16,Completado,Sucursal
10,OP-2026-1009,2026-01-18,Logistica Quito Express,98.10,Completado,Sucursal
11,OP-2026-1010,2026-01-04,Alimentos Frescos S.A.,5216.86,Completado,Movil
12,OP-2026-1011,2026-01-10,Ferreteria El Constructor,6094.26,Completado,Sucursal
13,OP-2026-1012,2026-01-05,Ferreteria El Constructor,558.05,Completado,Movil
14,OP-2026-1013,2026-01-25,Alimentos Frescos S.A.,6845.83,Completado,Sucursal
15,OP-2026-1014,2026-01-10,Textiles del Valle,1180.12,Completado,Sucursal
16,OP-2026-1015,2026-01-23,COMERCIAL  ANDINA S.A.,3143.51,Rechazado,Movil
17,OP-2026-1016,2026-01-04,Farmacias Vida Sana,2931.23,Completado,Movil
18,OP-2026-1017,2026-01-03,Servicios Portuarios Esmeraldas,6738.83,Completado,Call Center
19,OP-2026-1018,2026-01-14,Ferreteria El Constructor,1972.64,Pendiente,Call Center
20,OP-2026-1019,2026-07-01,Farmacias Vida Sana,5838.04,Rechazado,Web
21,OP-2026-1020,2026-01-16,Logistica Quito Express,4133.82,Completado,Sucursal
22,OP-2026-1021,2026-01-25,Distribuidora Pichincha Cia. Ltda.,1823.22,Completado,Movil
23,OP-2026-1022,2026-01-21,Logistica Quito Express,6831.46,Pendiente,Sucursal
24,OP-2026-1023,2026-01-02,,7793.39,Completado,Sucursal
25,OP-2026-1024,2026-01-02,Textiles del Valle,3957.47,Completado,Movil
26,OP-2026-1025,2026-01-03,Agroexportadora Manabi,4051.70,Completado,Web
27,OP-2026-1026,2026-01-02,Muebles Cotopaxi,2979.85,Completado,Sucursal
28,OP-2026-1027,2026-01-09,Importadora Guayas S.A.,4816.31,Completado,Movil
29,OP-2026-1028,2026-01-17,Logistica Quito Express,2276.47,Pendiente,Call Center
30,OP-2026-1029,2026-01-05,Alimentos Frescos S.A.,8251.64,Completado,Movil
31,OP-2026-1030,2026-01-13,Ferreteria El Constructor,2381.14,Completado,Sucursal
32,OP-2026-1031,2026-01-08,Tecnologia Integral EC,346.01,Completado,Movil
33,OP-2026-1032,2026-01-10,Textiles del Valle,2212.91,Completado,Web
34,OP-2026-1033,2026-01-08,Farmacias Vida Sana,3474.61,Completado,Call Center
35,OP-2026-1034,2026-01-13,Comercial Andina S.A.,7098.11,Completado,Web
36,OP-2026-1035,2026-01-13,Agroexportadora Manabi,582.21,Pendiente,Call Center
37,OP-2026-1036,2026-01-08,Logistica Quito Express,6452.69,Completado,Web
38,OP-2026-1037,2026-01-20,Comercial Andina S.A.,5312.96,Completado,Sucursal
39,OP-2026-1038,2026-01-20,Ferreteria El Constructor,1793.69,Completado,Sucursal
40,OP-2026-1039,2026-01-01,Muebles Cotopaxi,1998.25,Completado,Web
41,OP-2026-1040,2026-01-05,Tecnologia Integral EC,3814.87,Completado,Sucursal
42,OP-2026-1041,2026-01-03,Alimentos Frescos S.A.,2883.32,Completado,Sucursal
43,OP-2026-1042,2026-01-13,Tecnologia Integral EC,-1240.50,Completado,Movil
44,OP-2026-1043,2026-01-30,Comercial Andina S.A.,5790.63,Completado,Sucursal
45,OP-2026-1044,2026-01-27,Farmacias Vida Sana,6208.86,Completado,Movil
46,OP-2026-1045,2026-01-28,Agroexportadora Manabi,8139.44,Completado,Web
47,OP-2026-1046,2026-01-30,Agroexportadora Manabi,5209.81,Pendiente,Sucursal
48,OP-2026-1047,2026-01-05,Textiles del Valle,7555.64,Completado,Movil
49,OP-2026-1048,2026-01-07,Muebles Cotopaxi,3021.34,Completado,Call Center
50,OP-2026-1049,2026-01-26,Servicios Portuarios Esmeraldas,935.45,Pendiente,Sucursal
51,OP-2026-1050,2026-01-19,Importadora Guayas S.A.,4017.86,Pendiente,Sucursal
52,OP-2026-1051,2026-01-03,Muebles Cotopaxi,6546.51,Completado,Web
53,OP-2026-1052,2026-01-08,Farmacias Vida Sana,388.32,Completado,Web
54,OP-2026-1053,2026-01-01,Ferreteria El Constructor,6353.46,Completado,Web
55,OP-2026-1054,2026-01-31,Tecnologia Integral EC,5938.75,Completado,Movil
56,OP-2026-1055,2026-08-01,Tecnologia Integral EC,533.18,Pendiente,Call Center
57,OP-2026-1056,2026-01-19,Muebles Cotopaxi,4245.05,Pendiente,Sucursal
58,OP-2026-1057,2026-01-23,Logistica Quito Express,2320.37,Completado,Sucursal
59,OP-2026-1058,2026-01-07,Importadora Guayas S.A.,6516.69,Rechazado,Sucursal
60,OP-2026-1059,2026-01-15,Importadora Guayas S.A.,5374.83,Pendiente,Movil
61,OP-2026-1060,2026-01-19,Tecnologia Integral EC,154.25,Completado,Web
62,OP-2026-1061,2026-01-11,Alimentos Frescos S.A.,7091.96,Completado,Call Center
63,OP-2026-1062,2026-01-15,Alimentos Frescos S.A.,5692.22,Completado,Movil
64,OP-2026-1063,2026-01-17,Comercial Andina S.A.,5529.07,Completado,Web
65,OP-2026-1064,2026-01-09,Alimentos Frescos S.A.,7653.38,Completado,Movil
